sha,file,type,begin,end
3dc59264b30a8aea53d1d6f06e17f97b88444008,ql/src/java/org/apache/hadoop/hive/ql/ddl/workloadmanagement/resourceplan/create/CreateResourcePlanOperation.java,MOVE,28,47
3dc59264b30a8aea53d1d6f06e17f97b88444008,ql/src/java/org/apache/hadoop/hive/ql/ddl/workloadmanagement/trigger/pool/drop/AlterPoolDropTriggerOperation.java,MOVE,29,51
3dc59264b30a8aea53d1d6f06e17f97b88444008,ql/src/java/org/apache/hadoop/hive/ql/ddl/workloadmanagement/mapping/drop/DropWMMappingAnalyzer.java,MOVE_RENAME,41,55
3dc59264b30a8aea53d1d6f06e17f97b88444008,ql/src/java/org/apache/hadoop/hive/ql/ddl/workloadmanagement/trigger/TriggerUtils.java,MOVE,37,49
3dc59264b30a8aea53d1d6f06e17f97b88444008,ql/src/java/org/apache/hadoop/hive/ql/ddl/workloadmanagement/trigger/drop/DropWMTriggerOperation.java,MOVE,27,41
3dc59264b30a8aea53d1d6f06e17f97b88444008,ql/src/java/org/apache/hadoop/hive/ql/ddl/workloadmanagement/resourceplan/drop/DropResourcePlanDesc.java,MOVE,27,52
3dc59264b30a8aea53d1d6f06e17f97b88444008,ql/src/java/org/apache/hadoop/hive/ql/ddl/workloadmanagement/pool/drop/DropWMPoolOperation.java,MOVE,27,41
3dc59264b30a8aea53d1d6f06e17f97b88444008,ql/src/java/org/apache/hadoop/hive/ql/ddl/workloadmanagement/mapping/drop/DropWMMappingOperation.java,MOVE,28,43
3dc59264b30a8aea53d1d6f06e17f97b88444008,ql/src/java/org/apache/hadoop/hive/ql/ddl/workloadmanagement/resourceplan/show/ShowResourcePlanDesc.java,MOVE,27,58
3dc59264b30a8aea53d1d6f06e17f97b88444008,ql/src/java/org/apache/hadoop/hive/ql/ddl/workloadmanagement/trigger/create/CreateWMTriggerOperation.java,MOVE,29,48
3dc59264b30a8aea53d1d6f06e17f97b88444008,ql/src/java/org/apache/hadoop/hive/ql/ddl/workloadmanagement/trigger/pool/drop/AlterPoolDropTriggerDesc.java,MOVE,27,62
3dc59264b30a8aea53d1d6f06e17f97b88444008,ql/src/java/org/apache/hadoop/hive/ql/ddl/workloadmanagement/trigger/pool/add/AlterPoolAddTriggerOperation.java,MOVE,29,51
3dc59264b30a8aea53d1d6f06e17f97b88444008,ql/src/java/org/apache/hadoop/hive/ql/ddl/workloadmanagement/resourceplan/show/ShowResourcePlanOperation.java,MOVE,30,52
3dc59264b30a8aea53d1d6f06e17f97b88444008,ql/src/java/org/apache/hadoop/hive/ql/ddl/workloadmanagement/pool/create/CreateWMPoolAnalyzer.java,MOVE_RENAME,43,92
3dc59264b30a8aea53d1d6f06e17f97b88444008,ql/src/java/org/apache/hadoop/hive/ql/ddl/workloadmanagement/trigger/TriggerUtils.java,MOVE,66,72
3dc59264b30a8aea53d1d6f06e17f97b88444008,ql/src/java/org/apache/hadoop/hive/ql/ddl/workloadmanagement/trigger/create/CreateWMTriggerAnalyzer.java,MOVE_RENAME,41,57
3dc59264b30a8aea53d1d6f06e17f97b88444008,ql/src/java/org/apache/hadoop/hive/ql/ddl/workloadmanagement/pool/drop/DropWMPoolDesc.java,MOVE,27,51
3dc59264b30a8aea53d1d6f06e17f97b88444008,ql/src/java/org/apache/hadoop/hive/ql/ddl/workloadmanagement/trigger/alter/AlterWMTriggerAnalyzer.java,MOVE_RENAME,41,57
3dc59264b30a8aea53d1d6f06e17f97b88444008,ql/src/java/org/apache/hadoop/hive/ql/ddl/workloadmanagement/pool/alter/AlterWMPoolDesc.java,MOVE,58,61
3dc59264b30a8aea53d1d6f06e17f97b88444008,ql/src/java/org/apache/hadoop/hive/ql/ddl/workloadmanagement/trigger/alter/AlterWMTriggerOperation.java,MOVE,29,48
a832b403873d7ffd73dccb90ad92762614be9482,ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/translator/ASTConverter.java,EXTRACT,264,268
74294307c90b8f0b0016a9d16381dd30345de31d,ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzer.java,CHANGE_SIGNATURE,10135,10287
74294307c90b8f0b0016a9d16381dd30345de31d,ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzer.java,CHANGE_SIGNATURE,12028,12141
74294307c90b8f0b0016a9d16381dd30345de31d,ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzer.java,CHANGE_SIGNATURE,14535,14579
74294307c90b8f0b0016a9d16381dd30345de31d,ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzer.java,CHANGE_SIGNATURE,3092,3156
74294307c90b8f0b0016a9d16381dd30345de31d,ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzer.java,CHANGE_SIGNATURE,14818,14826
74294307c90b8f0b0016a9d16381dd30345de31d,ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzer.java,CHANGE_SIGNATURE,8693,8707
74294307c90b8f0b0016a9d16381dd30345de31d,ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzer.java,CHANGE_SIGNATURE,10629,10637
74294307c90b8f0b0016a9d16381dd30345de31d,ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzer.java,CHANGE_SIGNATURE,5909,6019
74294307c90b8f0b0016a9d16381dd30345de31d,ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzer.java,CHANGE_SIGNATURE,14475,14515
74294307c90b8f0b0016a9d16381dd30345de31d,ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzer.java,CHANGE_SIGNATURE,8672,8691
74294307c90b8f0b0016a9d16381dd30345de31d,ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzer.java,CHANGE_SIGNATURE,8623,8670
74294307c90b8f0b0016a9d16381dd30345de31d,ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzer.java,CHANGE_SIGNATURE,9398,9463
74294307c90b8f0b0016a9d16381dd30345de31d,ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzer.java,CHANGE_SIGNATURE,11123,11199
74294307c90b8f0b0016a9d16381dd30345de31d,ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzer.java,CHANGE_SIGNATURE,12155,12207
74294307c90b8f0b0016a9d16381dd30345de31d,ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzer.java,CHANGE_SIGNATURE,11960,11982
74294307c90b8f0b0016a9d16381dd30345de31d,ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzer.java,CHANGE_SIGNATURE,12367,12623
74294307c90b8f0b0016a9d16381dd30345de31d,ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzer.java,CHANGE_SIGNATURE,9140,9240
74294307c90b8f0b0016a9d16381dd30345de31d,ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzer.java,CHANGE_SIGNATURE,8311,8323
74294307c90b8f0b0016a9d16381dd30345de31d,ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzer.java,CHANGE_SIGNATURE,8290,8305
74294307c90b8f0b0016a9d16381dd30345de31d,ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzer.java,CHANGE_SIGNATURE,3784,3863
74294307c90b8f0b0016a9d16381dd30345de31d,ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzer.java,CHANGE_SIGNATURE,5341,5486
74294307c90b8f0b0016a9d16381dd30345de31d,ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzer.java,CHANGE_SIGNATURE,8168,8220
74294307c90b8f0b0016a9d16381dd30345de31d,ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzer.java,CHANGE_SIGNATURE,8444,8468
877ff71256ba4cd62f091bcc49b5c2047276c003,standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/security/ZooKeeperTokenStore.java,EXTRACT,96,106
187e1c3a2152ca2ea1534f890531b342ea89ae9f,standalone-metastore/metastore-common/src/gen/thrift/gen-javabean/org/apache/hadoop/hive/metastore/api/ColumnStatistics.java,CHANGE_SIGNATURE,147,154
